- розумієте, людина не скаже вам, шо вона була в стані шоку та заціпеніння і її організм повів себе непередбачувано для неї самої.  Вона скаже: "Я чуть не вср@лася від страху".   Лекція "Травматична криза: перша допомога і самодопомога"
Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо? https://t.co/hOO8OO8SO9
Ідеологічна криза вдарила не лише по населенню, але й по верхівці. Так, краби та осетрина у спецпайку це добре, але вони все одно не жили так, як міліардери в  США чи міліонери в Монако. Радянський іліті, особливо місцевій, захотілося свободи.
МИРКА ВЕЛИНОВСКА-УКРАИНСКА КРИЗА  https://t.co/m70TmExbrz
@akihheikkinen Криза? Ти хотів сказати війна? Ти ж не називаєш зимову війну у Фінляндії зимовою кризою?
@PeterRNeumann Це не українська криза. Це війна. У нас щоденно вмирають люди, або стають інвалідами. Якого біса це криза? Відірвана рука чи нога це не криза. Вбита людина це не криза. Підірвана атомна електростанція це не криза.  Викрадення людей це не криза. Залиште комфортні слова для поезії.
криза🤡 https://t.co/M3G4J2TiwP
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
@saniolli у мене інше питання – якщо це не прямий ефір, як це пішло у мовлення? Криза кадрів добралася до цитаделі брехні і проґавили?
Християни світу дистанціються від Кирила й РПЦ через підтримку дій Путіна https://t.co/CNCwIGsOOC Власне тому у світі криза віри,що багато релігійних бюрократів і проповідників із різних релігій продовжують обніматися з Антихристом!
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
How Duolingo Is Responding to Crisis In Ukraine Дуолінґо реально радує. Навіть пробачаю йому «криза в Україні». Це вже друга така стаття. Перша була одразу з початком навали орків. https://t.co/fsc2yDLHS5
@slythendork Криза кризою, а цирк за розкладом
... до травня вийдемо на мирну угоду з можливими локальними боями протягом року. Однак потім усі зрозуміють, що Путін програв, а на Росію чекає соціально-політична криза.» #УкраїнаПереможе
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
Російський мільярдер закликає до термінового миру в Україні, бо світ чекає продовольча криза  https://t.co/5ZwC0u1okN - #Події у світі - #новини https://t.co/CjnjlyFf4b
Російський мільярдер закликає до термінового миру в Україні, бо світ чекає продовольча криза https://t.co/Ot323z2afX
@TuznaJajca А немаштина, криза🤡
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
Це криза середнього віку? https://t.co/xhJcQOTzTa
Війна + криза трьох в дитини = пздц моїй нервовій системі Я тупо не вивожу місцями
@Vivat_Ukraina Для них це криза, катастрофа! Як би ви назвали їх бажання поділити Україну між "заходом" і морфологія, а їм підсумки гарбуза, за їх гроші купленного?
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
6.Маніпуляція середнім класом.  По середньому класу б‘є і криза, і пролетаріат, їм вигідно сидіти но жопі рівно, хоч і на двох стільцях
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
Європейська комісія в своєму інстаграмі:   «Ця криза є безпрецедентною.  А також єдність і швидкість реакції, яку показали наші демократії.   Цього тижня лідери ЄС продемонстрували силу демократії на зустрічі у Версалі.  Вони одноголосно засудили російську агресію проти України https://t.co/nO93HIp5TJ
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @Psychologist_UA: колективний виклик. Це наша внутрішня криза. І ми саме так їх вирішуємо, бо ми не могли раніше висунути голову із влас…
колективний виклик. Це наша внутрішня криза. І ми саме так їх вирішуємо, бо ми не могли раніше висунути голову із власного лайна і сказати самі собі правду - русский военный корабль, иди на хуй!
відчуття, що ти здатна більшого вщент розбивається реальністю в якій я живу. це було до війни, а зараз ще більше поглиблюється екзестенційна криза через війну
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
@themotherofcat В Україні буде багацько інвестицій після перемоги, як мені здається. Ринок з нуля буде будуватися майже. І якщо я не помиляюся, це дуже допоможе розвитку економіки. Та післявоєнна криза буде довга і важка. Але ми впораємося. І відбудуємося ще краще аніж було, обов'язково
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
@paulocoelho "Українська криза"? Можливо, Ви мали на увазі "спецоперація", містер Коельйо?
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
так а яка криза? може розкажеш? ми допоможемо! https://t.co/K88PRSzhxU
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @Rooftop564: Якщо у Китаї буде криза, то останнє що їм треба це псувати відносини із США та Європою. Отже є велика вирогідність того, що…
Якщо у Китаї буде криза, то останнє що їм треба це псувати відносини із США та Європою. Отже є велика вирогідність того, що вони не полізуть у аферу із допомогою РФ просто з необхідності підтримки власної економіки https://t.co/GhM63STapH
Пауло Каналья вважає нашу війну кризою. А хтось чув про таке захворювання «криза полярного». Напевно саме ця хвороба у Какальї
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
Думаю, нафтова та газова криза - дасть нереальний ріст електрокарів, та розвитку альтернативної енергетики. Я ще після рахунків цього року задумалась над купівлею та установленням сонячної батареї для бізнесу.
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
@NikolaTas Сум заспала .... Нема криза така !??
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @slythendork: жить в дерьме це виключно про них. в нас криза виключно була через йобнутого сусіда-агресора, але навіть з таким чинником…
жить в дерьме це виключно про них. в нас криза виключно була через йобнутого сусіда-агресора, але навіть з таким чинником ми не вмирали з голоду і жили добре, в той час як в рашці 70% за межою бідності https://t.co/mEBwhNtpbF
RT @sky7fobeskid: Шо ви усі Китаєм перелякалися , для чого йому собі петлю затягнути на шиї ?ця війна криза для людства , багато кого прост…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @sky7fobeskid: Шо ви усі Китаєм перелякалися , для чого йому собі петлю затягнути на шиї ?ця війна криза для людства , багато кого прост…
RT @sky7fobeskid: Шо ви усі Китаєм перелякалися , для чого йому собі петлю затягнути на шиї ?ця війна криза для людства , багато кого прост…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
RT @FanatSavchuka: Важливо зауважити, що ціни на продовольство за два роки виросли на 40%-70% (через Ковід), а тепер ріст відбувається на т…
